model_time,CD95,FADD,DISC,p55free,DISCp55,p30,p43,p18,p18inactive,Bid,tBid,PrNES_mCherry,PrNES,mCherry,PrER_mGFP,PrER,mGFP,CD95L
0,12,90,0,127,0,0,0,0,0,224,0,1909,0,0,3316,0,0,16.600000000000001
0.25,12,89.910579189734406,0.08872597714136711,126.99930516687576,0.00069417142235434588,6.6169108800663261e-07,1.0800045121081508e-11,1.3841169739946913e-14,4.8896212245014445e-17,223.99999999999994,5.4183177657817299e-14,1908.9999999999989,1.3298387263425044e-12,1.3298387263425044e-12,3316,2.5987817040186149e-15,2.5987817040186149e-15,16.600000000000001
0.5,12,89.821371763061535,0.17586551339303713,126.99723727645373,0.0027574571872491893,5.2660164920846467e-06,3.41668856122751e-10,8.6447233001354198e-13,5.9029242474507503e-15,223.99999999999665,3.3922105114397431e-12,1908.9999999999168,8.3256337133039688e-11,8.3256337133039688e-11,3315.9999999999995,3.1373414892780352e-13,3.1373414892780352e-13,16.600000000000001
0.75,12,89.732375281240309,0.26144567466381674,126.99382095589434,0.0061613609860077792,1.7680544306973188e-05,2.5655564272522967e-09,9.7146454804811575e-12,9.9445605579751585e-14,223.99999999996177,3.8288645409626176e-11,1908.9999999990605,9.3973306191949536e-10,9.3973306191949536e-10,3315.999999999995,5.2854282256200779e-12,5.2854282256200779e-12,16.600000000000001
1,12,89.64358734597208,0.34549310793957239,126.98908045385707,0.01087784326181594,4.169213599803619e-05,1.0690533891567751e-08,5.3875026821456791e-11,7.3598206468842409e-13,223.99999999978678,2.1328055517966128e-10,1908.9999999947656,5.2346273163358217e-09,5.2346273163358217e-09,3315.9999999999609,3.911666438729363e-11,3.911666438729363e-11,16.600000000000001
1.25,12,89.555005598770919,0.42803404595058181,126.98303964451516,0.016879314790530918,8.1008226852044007e-05,3.2261128145393471e-08,2.0286875086290045e-10,3.4694523846816794e-12,223.99999999919336,8.0667561579245243e-10,1908.9999999802014,1.979855224158451e-08,1.979855224158451e-08,3315.9999999998158,1.8439770620869641e-10,1.8439770620869641e-10,16.600000000000001
1.5,12,89.466627720340796,0.50909431187327348,126.97572203160381,0.024138630320594306,0.00013925808313710713,7.9382198591576591e-08,5.9796711607756976e-10,1.229145790505267e-11,223.99999999761181,2.3882441965702458e-09,1908.9999999413844,5.8615602809179626e-08,5.8615602809179626e-08,3315.999999999347,6.5327792180097866e-10,6.5327792180097866e-10,16.600000000000001
1.75,12,89.378451429960307,0.58869932406156622,126.96715075249766,0.032629082272919635,0.00021999403646864903,1.6966873267097849e-07,1.4884731596000122e-09,3.5752575151086852e-11,223.99999999402891,5.9711358994156693e-09,1908.9999998534481,1.4655190231265428e-07,1.4655190231265428e-07,3315.9999999980996,1.9002113641970663e-09,1.9002113641970663e-09,16.600000000000001
2,12,89.290474484874537,0.66687410080293963,126.95734858231341,0.042324394501459181,0.00032669269593134381,3.2712514818293177e-07,3.2740287121175434e-09,9.0020567788371457e-11,223.99999998680806,1.3191986103520839e-08,1908.999999676224,3.2377602708451138e-07,3.2377602708451138e-07,3315.9999999952156,4.7844974858450552e-09,4.7844974858450552e-09,16.600000000000001
2.25,12,89.202694679694289,0.74364326509492673,126.94633793803389,0.053198716115101512,0.00046275613842886097,5.8295726512141471e-07,6.5523161309702836e-09,2.030053389343183e-10,223.9999999734826,2.6517424560864485e-08,1908.9999993491726,6.5082742696783365e-07,6.5082742696783365e-07,3315.9999999892107,1.0789517969125228e-08,1.0789517969125228e-08,16.600000000000001
