model_time,CD95,FADD,DISC,p55free,DISCp55,p30,p43,p18,p18inactive,Bid,tBid,PrNES_mCherry,PrNES,mCherry,PrER_mGFP,PrER,mGFP,CD95L
0,12,90,0,127,0,0,0,0,0,224,0,1909,0,0,3316,0,0,16.600000000000001
0.25,12,89.910579189734349,0.088725977141604864,126.99930516687596,0.00069417142195648293,6.6169118120963371e-07,1.0908727594196937e-11,1.444049617571909e-14,5.4696143280186429e-17,223.99999999999994,5.6651937293388259e-14,1908.9999999999986,1.3904304507730447e-12,1.3904304507730447e-12,3316,2.9070418731958578e-15,2.9070418731958578e-15,16.600000000000001
0.5,12,89.821371763061563,0.17586551339290676,126.99723727645362,0.0027574571874064038,5.2660164691383793e-06,3.4165168750777066e-10,8.6717141593358677e-13,5.9969770625995282e-15,223.99999999999659,3.4043467206463633e-12,1908.9999999999168,8.355420081862624e-11,8.355420081862624e-11,3315.9999999999995,3.1873295607456767e-13,3.1873295607456767e-13,16.600000000000001
0.75,12,89.732375281240309,0.26144567466369828,126.99382095589424,0.0061613609861784178,1.7680544278117629e-05,2.565518096636832e-09,9.7194057439248165e-12,9.9707493115215308e-14,223.99999999996172,3.8309323031898597e-11,1908.99999999906,9.4024056081592771e-10,9.4024056081592771e-10,3315.999999999995,5.299347269742827e-12,5.299347269742827e-12,16.600000000000001
1,12,89.643587345972094,0.34549310793947935,126.98908045385699,0.010877843262022655,4.1692135954383717e-05,1.0690444220912608e-08,5.3884514831922665e-11,7.3677308138619527e-13,223.9999999997867,2.1332115592817398e-10,1908.9999999947647,5.235623796240133e-09,5.235623796240133e-09,3315.9999999999613,3.9158706083927334e-11,3.9158706083927334e-11,16.600000000000001
1.25,12,89.555005598770919,0.42803404595046557,126.98303964451506,0.016879314790701944,8.1008226822948737e-05,3.2261087023887664e-08,2.0287284620642855e-10,3.4702145871381455e-12,223.99999999919331,8.0669399244344203e-10,1908.999999980201,1.9799003266850727e-08,1.9799003266850727e-08,3315.9999999998158,1.8443821645903433e-10,1.8443821645903433e-10,16.600000000000001
1.5,12,89.466627720340796,0.50909431187316101,126.97572203160372,0.024138630320759556,0.00013925808310926224,7.9382158848974618e-08,5.979711703684584e-10,1.2292156259707434e-11,223.99999999761175,2.3882613741701615e-09,1908.9999999413842,5.8616024405672925e-08,5.8616024405672925e-08,3315.9999999993474,6.5331503860852753e-10,6.5331503860852753e-10,16.600000000000001
1.75,12,89.378451429960307,0.58869932406145031,126.96715075249755,0.032629082273083573,0.00021999403644182348,1.6966869675645264e-07,1.4884762187255958e-09,3.5753551306081003e-11,223.99999999402885,5.9711498554805124e-09,1908.9999998534477,1.4655224484176349e-07,1.4655224484176349e-07,3315.999999998101,1.9002632457973517e-09,1.9002632457973517e-09,16.600000000000001
2,12,89.290474484874522,0.66687410080280796,126.95734858231332,0.042324394501623147,0.00032669269590699247,3.2712512561985552e-07,3.2740290772518286e-09,9.0022092213315736e-11,223.99999998680801,1.3191991786908972e-08,1908.999999676224,3.2377616657406601e-07,3.2377616657406601e-07,3315.9999999952161,4.7845785074103513e-09,4.7845785074103513e-09,16.600000000000001
2.25,12,89.202694679694275,0.74364326509472622,126.94633793803372,0.053198716115271771,0.00046275613841315961,5.8295729646057868e-07,6.5523063196631855e-09,2.0300873127304739e-10,223.9999999734826,2.6517400123214872e-08,1908.9999993491733,6.5082682718486387e-07,6.5082682718486387e-07,3315.9999999892107,1.0789698268322451e-08,1.0789698268322451e-08,16.600000000000001
2.5,12,89.115109845802891,0.81903104943738747,126.93414088264913,0.06522661536166216,0.00063151307774914739,9.7632030040388545e-07,1.2171504487221377e-08,4.1967962587705632e-10,223.99999995052491,4.9475099955776539e-08,1908.9999987857138,1.2142865505723841e-06,1.2142865505723841e-06,3315.9999999776946,2.2305525994729373e-08,2.2305525994729373e-08,16.600000000000001
2.75,12,89.027717850770159,0.89306130063782441,126.92077912931239,0.078383073573446274,0.00083622001288952087,1.5550056776660585e-06,2.1286940404004462e-08,8.0867905294170453e-10,223.9999999130923,8.6907712213157006e-08,1908.9999978669905,2.133009658579768e-06,2.133009658579768e-06,3315.9999999570196,4.2980432035583553e-08,4.2980432035583553e-08,16.600000000000001
3,12,88.940516597773808,0.96575748462245214,126.9062740455046,0.092643479177360863,0.0010800623559214951,2.3760704606531458e-06,3.5421340102481496e-08,1.4703311038665956e-09,223.9999998547521,1.4524787083895433e-07,1908.9999964351255,3.5648747783385126e-06,3.5648747783385126e-06,3315.9999999218539,7.8146535203704514e-08,7.8146535203704514e-08,16.600000000000001
3.25,12,88.8535040250283,1.0371426912543005,126.89064665720821,0.1079836217664497,0.0013661555400315373,3.5064109076012429e-06,5.6528310052719378e-08,2.5461035918508478e-09,223.99999976718692,2.3281309995716711e-07,1908.9999942859779,5.7140221264887641e-06,5.7140221264887641e-06,3315.9999998646776,1.3532269938920348e-07,1.3532269938920348e-07,16.600000000000001
3.5,12,88.766678105221118,1.1072396391505648,126.87391765308369,0.12437968623585065,0.0016975461080818205,5.0232843740334181e-06,8.7058393004214301e-08,4.2296271815605757e-09,223.99999963988142,3.6011859749842184e-07,1908.9999911614698,8.8385302783454964e-06,8.8385302783454964e-06,3315.9999997752006,2.248001885873513e-07,2.248001885873513e-07,16.600000000000001
3.75,12,88.680036844956263,1.1760706804979533,126.85610738864754,0.14180824698226091,0.0020772127821055237,7.0147814139521188e-06,1.3002738701052571e-07,6.7793025899708714e-09,223.99999945979317,5.4020682468580924e-07,1908.9999867414947,1.3258505409366602e-05,1.3258505409366602e-05,3315.9999996396878,3.6031272622064358e-07,3.6031272622064358e-07,16.600000000000001
4,12,88.59357828420525,1.2436578058623591,126.8372358904486,0.16024626216730353,0.0025080675141607093,9.580250927259292e-06,1.8908647284443673e-07,1.0532553390135789e-08,223.99999921100761,7.8899240673903621e-07,1908.9999806354538,1.9364546325126837e-05,1.9364546325126837e-05,3315.9999994402065,5.5979401650612127e-07,5.5979401650612127e-07,16.600000000000001
4.25,12,88.507300495765435,1.310022648989895,126.8173228602398,0.17967106804491709,0.0029929565189333149,1.2830680825545742e-05,2.6859377326000552e-07,1.5921762344739493e-08,223.99999887437895,1.1256210533712371e-06,1908.9999723734466,2.7626553583506065e-05,2.7626553583506065e-05,3315.9999991537757,8.4622474363908637e-07,8.4622474363908637e-07,16.600000000000001
4.5,12,88.421201584725623,1.3751864915964651,126.79638767914318,0.20006037335283397,0.0035346612884715922,1.6889036612932931e-05,3.7368699463055426e-07,2.3491919286864235e-08,223.99999842715874,1.5728412654949566e-06,1908.9999613971477,3.8602852432301355e-05,3.8602852432301355e-05,3315.9999987514298,1.2485705378888306e-06,1.2485705378888306e-06,16.600000000000001
4.75,12,88.335279687939035,1.4391702681430782,126.77444941180529,0.22139225376821273,0.0041358995894315931,2.1890560258190544e-05,5.1035680453642737e-07,3.392000831768566e-08,223.99999784261243,2.1573875986790693e-06,1908.9999470504008,5.2949599386675856e-05,5.2949599386675856e-05,3315.9999981971878,1.8028123845354478e-06,1.8028123845354478e-06,16.600000000000001
5,12,88.249532973503463,1.5019945705945432,126.75152681054119,0.2436451464273526,0.0047993264431809958,2.7983031470828669e-05,6.8552067531996159e-07,4.8036138387990269e-08,223.99999708962559,2.9103744320931263e-06,1908.9999285695535,7.1430446643900181e-05,7.1430446643900181e-05,3315.9999974469306,2.5530696917953729e-06,2.5530696917953729e-06,16.600000000000001
5.25,12,88.163959640248791,1.5636796531591088,126.72763831946457,0.26679784450944721,0.005527535089115126,3.5326993546736149e-05,9.0709690822071399e-07,6.6846425994418263e-08,223.99999613230088,3.8676991533932436e-06,1908.9999050735623,9.4926437593347306e-05,9.4926437593347306e-05,3315.999996447184,3.5528164817706658e-06,3.5528164817706658e-06,16.600000000000001
5.5,12,88.078557917231592,1.6242454370065127,126.70280207860193,0.29082949188438073,0.0063230579315430094,4.4095945979220505e-05,1.1840785317840494e-06,9.1557649220854526e-08,223.9999949295464,5.070453640229526e-06,1908.9998755538941,0.00012444610594849079,0.00012444610594849079,3315.9999951338086,4.8661917264922091e-06,4.8661917264922091e-06,16.600000000000001
5.75,12,87.993326063236978,1.683711514962744,126.67703592798917,0.31571957782428839,0.0071883674704442419,5.4476505563861342e-05,1.5266069198677399e-06,1.2360363928942829e-07,223.9999934346568,6.5653432417124505e-06,1908.9998388642412,0.000161135758946477,0.000161135758946477,3315.9999934305979,6.5694020307270161e-06,6.5694020307270161e-06,16.600000000000001
6,12,87.908262366287488,1.7420971561791396,126.65035741174837,0.3414479317788503,0.0081258772164429626,6.6668538089726455e-05,1.9460448452947844e-06,1.6467342360032429e-07,223.99999159488783,8.4051122012592055e-06,1908.9997937100813,0.00020628991863208714,0.00020628991863208714,3315.9999912477824,8.7522174045179453e-06,8.7522174045179453e-06,16.600000000000001
6.25,12,87.823365143159208,1.7994213107741883,126.62278378214349,0.36799471821404867,0.0091379425902910101,8.08852622777098e-05,2.45504881813481e-06,2.1674109071921743e-07,223.99998935102528,1.0648974749390309e-05,1908.9997386380976,0.00026136190229008606,0.00026136190229008606,3315.9999884804415,1.1519558555358987e-05,1.1519558555358987e-05,16.600000000000001
6.5,12,87.738632738904727,1.8557026144461495,126.594332003613,0.39534043151420234,0.010226861807171826,9.7353327768407618e-05,3.067640510365982e-06,2.8209736344494268e-07,223.99998663694905,1.3363051003666208e-05,1908.9996720254792,0.00032797452084684702,0.00032797452084684702,3315.9999850068252,1.4993174962952475e-05,1.4993174962952475e-05,16.600000000000001
6.75,12,87.654063526383197,1.9109593930548707,126.56501875677813,0.4234658909470313,0.011394876746115234,0.00011631286879208685,3.7992771088754684e-06,3.6338285682891475e-07,223.99998337919314,1.6620806913965011e-05,1908.9995920691235,0.00040793087654019994,0.00040793087654019994,3315.9999806865876,1.9313412507266013e-05,1.9313412507266013e-05,16.600000000000001
7,12,87.569655905797362,1.9652096671712642,126.53486044242521,0.45235223569147204,0.012644173804807585,0.00013801753510143914,4.6669204554776109e-06,4.6362299138769705e-07,223.99997949650253,2.0503497520661764e-05,1908.9994967747582,0.00050322524187710455,0.00050322524187710455,3315.9999753589309,2.4641069068224732e-05,2.4641069068224732e-05,16.600000000000001
7.25,12,87.485408304237296,2.0184711565929927,126.50387318546093,0.48198091992795722,0.013976884740074179,0.000162734501681512,5.6891048402539905e-06,5.8626453329187251e-07,223.99997489938721,2.5100612835699739e-05,1908.9993839459971,0.0006160540029386967,0.0006160540029386967,3315.9999688406638,3.1159336597301942e-05,3.1159336597301942e-05,16.600000000000001
7.5,12,87.401319175231166,2.0707612848250299,126.47207283883914,0.51233370799084232,0.01539508749430182,0.00019074445867702848,6.8860033334719235e-06,7.3521372788627799e-07,223.99996948967433,3.0510325699404622e-05,1908.999251173349,0.00074882665114358584,0.00074882665114358584,3315.9999609241722,3.9075827872764639e-05,3.9075827872764639e-05,16.600000000000001
7.75,12,87.317386998302524,2.122097183523866,126.43947498745786,0.54339266958263654,0.016900807008061416,0.00022234158290471032,8.2794925576079478e-06,9.1487598874090782e-07,223.99996316005902,3.6839941007579879e-05,1908.9990958231913,0.00090417680860289853,0.00090417680860289853,3315.9999513753137,4.8624685929452852e-05,4.8624685929452852e-05,16.600000000000001
8,12,87.23361027853467,2.1724956969041833,126.40609495202595,0.57514017504969495,0.018496016019185661,0.0002578334922764568,9.8932158032301662e-06,1.1301971067921915e-06,223.99995579365429,4.4206345725410624e-05,1908.9989150267274,0.0010849732727383269,0.0010849732727383269,3315.999939931226,6.0068774279395226e-05,6.0068774279395226e-05,16.600000000000001
8.25,12,87.149987546141134,2.2219733861069542,126.37194779289776,0.60755889071899249,0.020182635848546893,0.0002975411843745508,1.1752644414725165e-05,1.3867059376683537e-06,223.99994726354083,5.2736459157755387e-05,1908.9987056689331,0.0012943310671361889,0.0012943310671361889,3315.9999262980546,7.370194569589798e-05,7.370194569589798e-05,16.600000000000001
8.5,12,87.066517356043306,2.2705465335280106,126.33704831387541,0.64063177429557872,0.021962537172772092,0.0003417989603501343,1.3885137385461878e-05,1.6905585228109394e-06,223.99993743231701,6.2567682984334547e-05,1908.9984643775135,0.0015356224865653808,0.0015356224865653808,3315.9999101486133,8.9851387201848618e-05,8.9851387201848618e-05,16.600000000000001
8.75,12,86.983198287454101,2.3182311471060975,126.3014110659775,0.67434207032034954,0.023837540784134744,0.00039095433533174235,1.6319999084933085e-05,2.0485836086704766e-06,223.99992615164945,7.3848350550024476e-05,1908.9981875118763,0.0018124881236331722,0.0018124881236331722,3315.9998911199614,0.00010888003936345728,0.00010888003936345728,16.600000000000001
9,12,86.900028943468456,2.3650429645696618,126.26505035117351,0.70867330568768439,0.025809418337844014,0.00044536793637293433,1.9088535088105851e-05,2.4683295129205665e-06,223.99991326182501,8.6738175003878653e-05,1908.997871152133,0.0021288478670942372,0.0021288478670942372,3315.9998688109131,0.00013118908717577672,0.00013118908717577672,16.600000000000001
9.25,12,86.817007950659942,2.4109974576416522,126.22798022608323,0.7436092852225159,0.027879893086950786,0.00050541338895726041,2.222410607218641e-05,2.9581122902066672e-06,223.99989859130415,0.00010140869588116406,1908.9975110881383,0.002488911861840692,0.002488911861840692,3315.9998427794803,0.00015722052001609102,0.00015722052001609102,16.600000000000001
